STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,IMPRESSIONS,CLICKS,REVENUE
g5,2015,6,18,13239420,3397,1353
g5,2015,6,19,11990222,0,0
g5,2015,6,20,8268960,5263,2081
g5,2015,6,21,7420583,4233,1743
g5,2015,6,22,14153986,5492,2238
g5,2015,6,23,13273484,5592,2359
g5,2015,6,24,14246142,5892,2368
g5,2015,6,25,14204949,4863,1999
g5,2015,6,26,13171916,4970,1961
g5,2015,6,27,7701506,4619,1731
g5,2015,6,28,6745396,3883,1538
g5,2015,6,29,12490429,4712,1818
g5,2015,6,30,13117535,4913,2212
g5,2015,7,1,11138076,3726,779
g5,2015,7,2,12487418,3747,902
g5,2015,7,3,11666575,3690,948
g5,2015,7,4,6610381,3010,876
g5,2015,7,5,6191216,3068,832
g5,2015,7,6,12063441,3075,798
g5,2015,7,7,13162333,2610,731
g5,2015,7,8,12513050,3726,1236
g5,2015,7,9,10459814,3518,1079
g5,2015,7,10,11412456,3540,1251
g5,2015,7,11,7678642,3597,1253
g5,2015,7,12,7623281,3840,1549
g5,2015,7,13,12949042,3897,1338
g5,2015,7,14,13267777,3711,1353
g5,2015,7,15,13613716,4119,1295
g5,2015,7,16,12744820,3776,1410
g5,2015,7,17,12517069,4362,1754
g5,2015,7,18,7156108,3475,1316
g5,2015,7,19,7319988,3976,1729
g5,2015,7,20,13282209,4190,1456
g5,2015,7,21,13105585,4333,1440
g5,2015,7,22,12764852,2352,588
g5,2015,7,23,13156755,5006,1556
g5,2015,7,24,11559601,4155,1436
g5,2015,7,25,7659290,4641,1499
g5,2015,7,26,7307165,3797,1432
g5,2015,7,27,13724509,4219,1555
g5,2015,7,28,12834445,3833,1529
g5,2015,7,29,13073273,4341,1725
g5,2015,7,30,12962366,4569,1818
g5,2015,7,31,12095316,4140,2111
g5,2015,8,1,7868776,3747,972
g5,2015,8,2,6924230,3246,817
g5,2015,8,3,13714632,4283,1270
g5,2015,8,4,14049494,4290,1396
g5,2015,8,5,13181263,3890,1297
g5,2015,8,6,13586189,4219,1366
g5,2015,8,7,12871783,4619,1267
h5,2015,6,7,6394036,3282,773
h5,2015,6,8,12101173,4405,920
h5,2015,6,9,13752608,4798,1074
h5,2015,6,10,13325798,4677,1020
h5,2015,6,11,12175264,4598,1126
h5,2015,6,12,12224381,5049,1145
h5,2015,6,13,6943897,3962,989
h5,2015,6,14,6409963,3919,1147
h5,2015,6,15,12916731,4498,1005
h5,2015,6,16,13286256,4190,993
h5,2015,6,17,12364661,3983,1033
h5,2015,6,18,13524377,3897,1132
h5,2015,6,19,12097997,0,0
h5,2015,6,20,8302752,5428,1626
h5,2015,6,21,7385203,4855,1602
h5,2015,6,22,14361470,5378,1668
h5,2015,6,23,13354969,5821,1920
h5,2015,6,24,14329344,5571,1662
h5,2015,6,25,14292943,5234,1428
h5,2015,6,26,13445080,5234,1411
h5,2015,6,27,7826388,4512,1200
h5,2015,6,28,6853164,3633,984
h5,2015,6,29,12842934,4934,1329
h5,2015,6,30,13449292,5356,1379
h5,2015,7,1,11317274,4226,515
h5,2015,7,2,12626124,4512,648
h5,2015,7,3,11608453,3926,577
h5,2015,7,4,6676977,3068,527
h5,2015,7,5,6164147,2932,535
h5,2015,7,6,12145749,3304,609
h5,2015,7,7,13197812,3161,562
h5,2015,7,8,12528340,4233,815
h5,2015,7,9,10632398,4112,809
h5,2015,7,10,11585582,4169,905
h5,2015,7,11,7833411,3661,930
h5,2015,7,12,7781054,3904,1010
h5,2015,7,13,12912061,4054,939
h5,2015,7,14,13397586,3911,816
h5,2015,7,15,13578930,3990,832
h5,2015,7,16,12725961,4133,892
h5,2015,7,17,12389434,4619,1098
h5,2015,7,18,7091386,3768,1010
